movieId,director,actors
2880,Jackie Chan,Jackie Chan;Alan Tam;Lola Forner;Rosamund Kwan Chi-Lam;Ken Boyle
2881,Bruce Beresford,Ashley Judd;Tommy Lee Jones;Bruce Greenwood;Annabeth Gish;Benjamin Weir
2882,Peter Kassovitz,Robin Williams;Liev Schreiber;Hannah Taylor-Gordon;Alan Arkin;Michael Jeter
2883,Lawrence Kasdan,Loren Dean;Hope Davis;Jason Lee;Alfre Woodard;Zooey Deschanel
2884,Bruce McCulloch,Natasha Henstridge;Luke Wilson;Kathleen Robertson;Janeane Garofalo;Bruce McCulloch
2885,Audrey Wells,Sarah Polley;Stephen Rea;Jean Smart;Gina Gershon;Paul Dooley
2886,Gary Halvorson,Kevin Clash;Mandy Patinkin;Vanessa Williams;Sonia Manzano;Roscoe Orman
2887,Kevin Alyn Elders,Dennis Rodman;Natalia Cigliuti;Emma Wiklund;Dane Cook;John Pinette
2888,John Schultz,Melissa Joan Hart;Adrian Grenier;Susan May Pratt;Kris Park;Ali Larter
2889,Jay Roach,Russell Crowe;Hank Azaria;Mary McCormack;Burt Reynolds;Lolita Davidovich
2890,David O. Russell,George Clooney;Mark Wahlberg;Ice Cube;Spike Jonze;Cliff Curtis
2891,Mark Illsley,Jeremy Northam;Steve Zahn;William H. Macy;Ally Walker;Illeana Douglas
2892,Abel Ferrara,Christopher Walken;Willem Dafoe;Asia Argento;Annabella Sciorra;John Lurie
2893,Jake Scott,Jonny Lee Miller;Robert Carlyle;Liv Tyler;Ken Stott;Michael Gambon
2894,Catherine Breillat,Caroline Ducey;Sagamore Stévenin;François Berléand;Rocco Siffredi;Reza Habouhossein
2896,Edward Dmytryk,William Holden;Richard Widmark;Janice Rule;Patrick O'Neal;Victoria Shaw
2897,Federico Fellini,Freddie Jones;Barbara Jefford;Victor Poletti;Peter Cellier;Elisa Mainardi
2898,George A. Romero,Timothy Hutton;Amy Madigan;Michael Rooker;Julie Harris;Robert Joy
2899,Dave Fleischer,Lanny Ross;Sam Parker;Pinto Colvig;Jack Mercer;Cal Howard
2900,George A. Romero,Jason Beghe;John Pankow;Kate McNeil;Joyce Van Patten;Christine Forrest
2901,Don Coscarelli,Angus Scrimm;A. Michael Baldwin;Bill Thornbury;Reggie Bannister;Kathy Lester
2902,Richard Franklin,Anthony Perkins;Vera Miles;Meg Tilly;Robert Loggia;Dennis Franz
2903,Anthony Perkins,Anthony Perkins;Diana Scarwid;Jeff Fahey;Roberta Maxwell;Hugh Gillin
2905,Akira Kurosawa,Toshirō Mifune;Tatsuya Nakadai;Keiju Kobayashi;Yūzō Kayama;Reiko Dan
2906,Sydney Pollack,Harrison Ford;Kristin Scott Thomas;Charles S. Dutton;Richard Jenkins;Dennis Haysbert
2907,Bruce McCulloch,Molly Shannon;Will Ferrell;Elaine Hendrix;Harland Williams;Mark McKinney
2908,Kimberly Peirce,Hilary Swank;Chloë Sevigny;Peter Sarsgaard;Brendan Sexton III;Alicia Goranson
2912,Steven Soderbergh,Terence Stamp;Lesley Ann Warren;Luis Guzmán;Barry Newman;Joe Dallesandro
2915,Paul Brickman,Tom Cruise;Rebecca De Mornay;Joe Pantoliano;Richard Masur;Bronson Pinchot
2916,Paul Verhoeven,Arnold Schwarzenegger;Rachel Ticotin;Sharon Stone;Ronny Cox;Michael Ironside
2917,Lawrence Kasdan,William Hurt;Kathleen Turner;Richard Crenna;Ted Danson;J.A. Preston
2918,John Hughes,Matthew Broderick;Alan Ruck;Mia Sara;Jeffrey Jones;Jennifer Grey
2919,Peter Weir,Mel Gibson;Sigourney Weaver;Linda Hunt;Michael Murphy;Bill Kerr
2921,Clint Eastwood,Clint Eastwood;Verna Bloom;Marianna Hill;Mitchell Ryan;Jack Ging
2922,Ted Post,Clint Eastwood;Inger Stevens;Ed Begley;Pat Hingle;Ben Johnson
2924,Yuen Woo-Ping,Jackie Chan;Simon Yuen Siu-Tien;Hwang Jang-Lee;Dean Shek Tin;Hsu Hsia
2925,Bernardo Bertolucci,Jean-Louis Trintignant;Stefania Sandrelli;Gastone Moschin;Dominique Sanda;Enzo Tarascio
2926,John Waters,Ricki Lake;Divine;Debbie Harry;Vitamin C;Sonny Bono
2927,David Lean,Celia Johnson;Trevor Howard;Stanley Holloway;Joyce Carey;Cyril Raymond
2928,John Byrum,Bill Murray;Theresa Russell;Catherine Hicks;Denholm Elliott;James Keach
2929,Warren Beatty,Warren Beatty;Diane Keaton;Edward Herrmann;Jerzy Kosiński;Jack Nicholson
2930,Freida Lee Mock,Everett Alvarez;Ron Bliss;Fred Cherry;Tom Hanks;George Day
2931,Emir Kusturica,Davor Dujmović;Borivoje Todorović;Ljubica Adžović;Husnija Hasimovic;Sinolichka Trpkova
2932,Terrence Malick,Richard Gere;Brooke Adams;Sam Shepard;Linda Manz;Robert J. Wilke
2935,Preston Sturges,Barbara Stanwyck;Henry Fonda;Charles Coburn;Eugene Pallette;William Demarest
2936,Preston Sturges,Joel McCrea;Veronica Lake;Robert Warwick;William Demarest;Franklin Pangborn
2937,Preston Sturges,Claudette Colbert;Joel McCrea;Mary Astor;Rudy Vallee;Sig Arno
2939,Henry Hathaway,Marilyn Monroe;Joseph Cotten;Jean Peters;Max Showalter;Denis O'Dea
2940,Charles Vidor,Rita Hayworth;Glenn Ford;George Macready;Joseph Calleia;Steven Geray
2941,Joshua Logan,Rossano Brazzi;Mitzi Gaynor;John Kerr;Ray Walston;Juanita Hall
2942,Adrian Lyne,Jennifer Beals;Michael Nouri;Sunny Johnson;Kyle T. Heffner;Cynthia Rhodes
2943,Régis Wargnier,Catherine Deneuve;Vincent Perez;Linh-Dan Pham;Jean Yanne;Dominique Blanc
2944,Robert Aldrich,Lee Marvin;Ernest Borgnine;Charles Bronson;Jim Brown;John Cassavetes
2946,Richard Lester,George Harrison;John Lennon;Paul McCartney;Ringo Starr;Leo McKern
2947,Guy Hamilton,Sean Connery;Gert Fröbe;Honor Blackman;Harold Sakata;Shirley Eaton
2948,Terence Young,Sean Connery;Daniela Bianchi;Pedro Armendáriz;Robert Shaw;Lotte Lenya
2949,Terence Young,Sean Connery;Ursula Andress;Joseph Wiseman;Jack Lord;Anthony Dawson
2950,Randal Kleiser,Brooke Shields;Christopher Atkins;Leo McKern;William Daniels;Jeffrey Kleiser
2951,Sergio Leone,Clint Eastwood;Marianne Koch;Gian Maria Volonté;Wolfgang Lukschy;Sieghardt Rupp
2952,Paul Thomas Anderson,Philip Baker Hall;John C. Reilly;Gwyneth Paltrow;Samuel L. Jackson;F. William Parker
2953,Chris Columbus,Macaulay Culkin;Joe Pesci;Daniel Stern;Catherine O'Hara;John Heard
2956,Ridley Scott,Tom Berenger;Mimi Rogers;Lorraine Bracco;Jerry Orbach;John Rubinstein
2959,David Fincher,Edward Norton;Brad Pitt;Helena Bonham Carter;Meat Loaf;Jared Leto
2961,Rob Reiner,Bruce Willis;Michelle Pfeiffer;Rob Reiner;Colleen Rennison;Jake Sandvig
2962,David Evans,Colin Firth;Ruth Gemmell;Mark Strong;Holly Aird;Ken Stott
2964,Harmony Korine,Ewen Bremner;Chloë Sevigny;Werner Herzog;Evan Neumann;Joyce Korine
2965,Robert Marcarelli,Casper Van Dien;Michael York;Catherine Oxenberg;Michael Ironside;Jan Tříska
2966,David Lynch,Richard Farnsworth;Sissy Spacek;Jane Galloway Heitz;Joseph A. Carpenter;Donald Wiegert
2967,Mervyn LeRoy,Nancy Kelly;Patty McCormack;Henry Jones;Eileen Heckart;Evelyn Varden
2968,Terry Gilliam,Craig Warnock;David Rappaport;Kenny Baker;Mike Edmonds;Malcolm Dixon
2969,Claude Lelouch,Anouk Aimée;Jean-Louis Trintignant;Pierre Barouh;Valérie Lagrange;Antoine Sire
2970,Werner Herzog,Klaus Kinski;Claudia Cardinale;José Lewgoy;Miguel Ángel Fuentes;Paul Hittscher
2971,Bob Fosse,Roy Scheider;Ann Reinking;Leland Palmer;Jessica Lange;Erzsebet Foldi
2973,Woody Allen,Woody Allen;Martin Landau;Mia Farrow;Alan Alda;Anjelica Huston
2974,Louis Morneau,Lou Diamond Phillips;Dina Meyer;Bob Gunton;Leon;Carlos Jacott
2975,Malcolm D. Lee,Taye Diggs;Morris Chestnut;Nia Long;Harold Perrineau;Terrence Howard
2976,Martin Scorsese,Nicolas Cage;Patricia Arquette;John Goodman;Ving Rhames;Tom Sizemore
2977,Antonio Banderas,Melanie Griffith;David Morse;Lucas Black;Cathy Moriarty;Meat Loaf
2978,Damon Santostefano,Matthew Perry;Neve Campbell;Dylan McDermott;Oliver Platt;Cylk Cozart
2979,Michael Cristofer,Jerry O'Connell;Amanda Peet;Sean Patrick Flanery;Tara Reid;Ron Livingston
2982,William Friedkin,Jenny Seagrove;Dwier Brown;Carey Lowell;Brad Hall;Miguel Ferrer
2983,Sidney J. Furie,Michael Caine;Nigel Green;Guy Doleman;Sue Lloyd;Gordon Jackson
2984,Bruce Brown,Steve McQueen;Bruce Brown;Mert Lawwill;Malcolm Smith;J.N. Roberts
2985,Paul Verhoeven,Peter Weller;Nancy Allen;Dan O'Herlihy;Ronny Cox;Kurtwood Smith
2986,Irvin Kershner,Peter Weller;Nancy Allen;Tom Noonan;Belinda Bauer;Willard E. Pugh
2987,Robert Zemeckis,Bob Hoskins;Christopher Lloyd;Joanna Cassidy;Charles Fleischer;Kathleen Turner
2988,Jonathan Demme,Paul Le Mat;Mary Steenburgen;Jason Robards;Elizabeth Cheshire;Chip Taylor
2989,John Glen,Roger Moore;Carole Bouquet;Topol;Julian Glover;Lynn-Holly Johnson
2990,John Glen,Timothy Dalton;Carey Lowell;Robert Davi;Talisa Soto;Anthony Zerbe
2991,Guy Hamilton,Roger Moore;Yaphet Kotto;Jane Seymour;Clifton James;Julius Harris
2992,George Pavlou,David Dukes;Niall Tóibín;Cora Lunny;Ronan Wilmot;Donal McCann
2993,Terence Young,Sean Connery;Claudine Auger;Adolfo Celi;Luciana Paluzzi;Rik Van Nutter
2995,William Malone,Geoffrey Rush;Famke Janssen;Ali Larter;Taye Diggs;Chris Kattan
2996,Wes Craven,Meryl Streep;Cloris Leachman;Henry Dinhofer;Michael Angarano;Robert Ari
2997,Spike Jonze,John Cusack;John Malkovich;Cameron Diaz;Catherine Keener;Orson Bean
3000,Hayao Miyazaki,Yoji Matsuda;Yuriko Ishida;Yuko Tanaka;Kaoru Kobayashi;Masahiko Nishimura
3002,Werner Herzog,Werner Herzog;Klaus Kinski;Claudia Cardinale;Eva Mattes;Baron van der Recke
3003,Radu Mihăileanu,Lionel Abelanski;Rufus;Clément Harari;Agathe de La Fontaine;Michel Muller
3004,Gary Sinyor,Chris O'Donnell;Renée Zellweger;Artie Lange;Ed Asner;Hal Holbrook
3005,Phillip Noyce,Denzel Washington;Angelina Jolie;Queen Latifah;Michael Rooker;Michael McGlone
3006,Michael Mann,Al Pacino;Russell Crowe;Christopher Plummer;Diane Venora;Philip Baker Hall
3007,Chris Smith,Mark Borchardt;Mike Schank;Tom Schimmels;Monica Borchardt;Alex Borchardt
3008,Don McKellar,Don McKellar;Sandra Oh;Roberta Maxwell;Robin Gammell;Sarah Polley
3010,Jean-Pierre Dardenne,Émilie Dequenne;Olivier Gourmet;Fabrizio Rongione;Anne Yernaux;Bernard Marbaix
3011,Sydney Pollack,Jane Fonda;Michael Sarrazin;Susannah York;Gig Young;Red Buttons
3013,Brian Yuzna,Jeffrey Combs;Bruce Abbott;Claude Earl Jones;Fabiana Udenio;David Gale
3014,Oz Scott,Richard Pryor;Cicely Tyson;Ángel Ramírez;Jimmy Hughes;Edwin DeLeon
3015,Michael Crichton,Geneviève Bujold;Michael Douglas;Elizabeth Ashley;Rip Torn;Richard Widmark
3016,George A. Romero,Hal Holbrook;Adrienne Barbeau;Fritz Weaver;Leslie Nielsen;Carrie Nye
3017,Michael Gornick,Lois Chiles;George Kennedy;Dorothy Lamour;Daniel Beer;Jeremy Green
3018,Stuart Gordon,Jeffrey Combs;Bruce Abbott;Barbara Crampton;David Gale;Robert Sampson
3019,Gus Van Sant,Matt Dillon;Kelly Lynch;James Remar;James Le Gros;Heather Graham
3020,Joel Schumacher,Michael Douglas;Robert Duvall;Barbara Hershey;Rachel Ticotin;Tuesday Weld
3021,Tobe Hooper,Elizabeth Berridge;Cooper Huckabee;Kevin Conway;Largo Woodruff;Miles Chapin
3022,Clyde Bruckman,Buster Keaton;Marion Mack;Glen Cavender;Jim Farley;Frederick Vroom
3024,Joe Dante,Bradford Dillman;Heather Menzies;Kevin McCarthy;Keenan Wynn;Dick Miller
3028,Franco Zeffirelli,Elizabeth Taylor;Richard Burton;Natasha Pyne;Michael York;Cyril Cusack
3029,Bruce Malmuth,Sylvester Stallone;Billy Dee Williams;Rutger Hauer;Lindsay Wagner;Persis Khambatta
3030,Akira Kurosawa,Toshirō Mifune;Tatsuya Nakadai;Yōko Tsukasa;Isuzu Yamada;Daisuke Katō
3031,Bob Logan,Linda Blair;Ned Beatty;Leslie Nielsen;Anthony Starke;Thom Sharp
3032,Boris Sagal,Charlton Heston;Anthony Zerbe;Rosalind Cash;Paul Koslo;Eric Laneuville
3033,Mel Brooks,Mel Brooks;John Candy;Rick Moranis;Bill Pullman;Daphne Zuniga
3034,Wolfgang Reitherman,Brian Bedford;Phil Harris;Andy Devine;Monica Evans;Peter Ustinov
3035,John Ford,Henry Fonda;James Cagney;William Powell;Jack Lemmon;Betsy Palmer
3036,Jean-Jacques Annaud,Everett McGill;Ron Perlman;Nicholas Kadi;Rae Dawn Chong;Gary Schwartz
3037,Arthur Penn,Dustin Hoffman;Faye Dunaway;Chief Dan George;Martin Balsam;Richard Mulligan
3038,Elia Kazan,Andy Griffith;Patricia Neal;Anthony Franciosa;Walter Matthau;Lee Remick
3039,John Landis,Dan Aykroyd;Eddie Murphy;Ralph Bellamy;Don Ameche;Denholm Elliott
3040,Ivan Reitman,Bill Murray;Harvey Atkin;Russ Banham;Kristine DeBell;Todd Hoffman
3041,Ken Wiederhorn,Richard Mulligan;Hamilton Camp;John Mengatti;Kim Richards;Archie Hahn
3042,George Mendeluk,Sally Kellerman;Patrick Dempsey;Al Waxman;Isabelle Mejias;Shannon Tweed
3043,Bob Logan,Corey Feldman;Jack Nance;BoJesse Christopher;Brad Grunberg;J. Trevor Edmond
3044,Kenneth Branagh,Kenneth Branagh;Emma Thompson;Derek Jacobi;Andy García;Wayne Knight
3045,Kenneth Branagh,Kenneth Branagh;Stephen Fry;Emma Thompson;Hugh Laurie;Imelda Staunton
3046,Maria Maggenti,Laurel Holloman;Nicole Ari Parker;Maggie Moore;Kate Stafford;Sabrina Artel
3048,Steve Rash,Chevy Chase;Carrie Fisher;Eve Arden;Joseph Maher;Robert Donner
3051,Wayne Wang,Susan Sarandon;Natalie Portman;Hart Bochner;Eileen Ryan;Ray Baker
3052,Kevin Smith,Ben Affleck;Matt Damon;Linda Fiorentino;Salma Hayek Pinault;Jason Lee
3053,Luc Besson,Milla Jovovich;John Malkovich;Faye Dunaway;Dustin Hoffman;Pascal Greggory
3054,Kunihiko Yuyama,Rica Matsumoto;Ikue Otani;Mayumi Izuka;Satomi Korogi;Yuji Ueda
3055,Atom Egoyan,Bob Hoskins;Elaine Cassidy;Arsinée Khanjian;Peter McDonald;Gerard McSorley
3056,Richard Shepard,Maura Tierney;Adrien Brody;James Naughton;Laila Robins;Terry Kinney
3057,Daniel Pyne,Miguel Ferrer;John Livingston;Yasiin Bey;John Slattery;Allison Dean
3060,Alan Parker,Robert Arkins;Michael Aherne;Angeline Ball;Maria Doyle Kennedy;Dave Finnegan
3061,Mark Sandrich,Bing Crosby;Fred Astaire;Marjorie Reynolds;Virginia Dale;Walter Abel
3062,Ken Annakin,Henry Fonda;John Wayne;Robert Mitchum;Robert Ryan;Eddie Albert
3063,Katt Shea,Drew Barrymore;Sara Gilbert;Tom Skerritt;Cheryl Ladd;Jeanne Sakata
3064,Kurt Voss,Jaime Pressly;Megan Edwards;Michael Des Barres;Greg Vaughan;Merete Van Kamp
3066,Richard Fleischer,Martin Balsam;Sō Yamamura;Jason Robards;Joseph Cotten;Tatsuya Mihashi
3067,Pedro Almodóvar,Carmen Maura;Antonio Banderas;Julieta Serrano;María Barranco;Rossy de Palma
3068,Sidney Lumet,Paul Newman;Charlotte Rampling;Jack Warden;James Mason;Milo O’Shea
3070,W.D. Richter,Peter Weller;John Lithgow;Ellen Barkin;Jeff Goldblum;Christopher Lloyd
3071,Ramón Menéndez,Edward James Olmos;Lou Diamond Phillips;Rosanna DeSoto;Andy García;Estelle Harris
3072,Norman Jewison,Cher;Nicolas Cage;Vincent Gardenia;Olympia Dukakis;Danny Aiello
3073,Vincente Minnelli,Elizabeth Taylor;Richard Burton;Eva Marie Saint;Charles Bronson;Robert Webber
3074,Sydney Pollack,Robert Redford;Will Geer;Delle Bolton;Josh Albee;Joaquín Martínez
3075,Roman Polanski,Catherine Deneuve;Ian Hendry;John Fraser;Yvonne Furneaux;Patrick Wymark
3076,Billy Wilder,Shirley MacLaine;Jack Lemmon;Lou Jacobi;Bruce Yarnell;Herschel Bernardi
3077,Michael Apted,Bruce Balden;Jacqueline Bassett;Symon Basterfield;Andrew Brackfield;John Brisby
3078,Barry Levinson,Adrien Brody;Ben Foster;Orlando Jones;Bebe Neuwirth;Joe Mantegna
3079,Patricia Rozema,Frances O'Connor;Lindsay Duncan;James Purefoy;Sheila Gish;Harold Pinter
3081,Tim Burton,Johnny Depp;Christina Ricci;Miranda Richardson;Michael Gambon;Casper Van Dien
3082,Michael Apted,Pierce Brosnan;Sophie Marceau;Robert Carlyle;Denise Richards;Robbie Coltrane
3083,Pedro Almodóvar,Cecilia Roth;Marisa Paredes;Candela Peña;Antonia San Juan;Penélope Cruz
3086,Gus Meins,Stan Laurel;Oliver Hardy;Charlotte Henry;Henry Brandon;Felix Knight
3087,Richard Donner,Bill Murray;Karen Allen;John Forsythe;John Glover;Bobcat Goldthwait
3088,Henry Koster,James Stewart;Josephine Hull;Peggy Dow;Charles Drake;Cecil Kellaway
3090,John Sayles,Chris Cooper;James Earl Jones;Mary McDonnell;Will Oldham;David Strathairn
3091,Akira Kurosawa,Tatsuya Nakadai;Tsutomu Yamazaki;Kenichi Hagiwara;Jinpachi Nezu;Hideji Ōtaki
3093,Robert Altman,Warren Beatty;Julie Christie;René Auberjonois;William Devane;John Schuck
3094,James Ivory,James Wilby;Hugh Grant;Rupert Graves;Denholm Elliott;Simon Callow
3095,John Ford,Henry Fonda;Jane Darwell;John Carradine;Charley Grapewin;Dorris Bowdon
3096,Henry Koster,June Allyson;David Niven;Jessie Royce Landis;Robert Keith;Eva Gabor
3097,Ernst Lubitsch,Margaret Sullavan;James Stewart;Frank Morgan;Joseph Schildkraut;Sara Haden
3098,Barry Levinson,Robert Redford;Robert Duvall;Glenn Close;Kim Basinger;Wilford Brimley
3099,Hal Ashby,Warren Beatty;Julie Christie;Goldie Hawn;Lee Grant;Jack Warden
3100,Robert Redford,Craig Sheffer;Brad Pitt;Tom Skerritt;Brenda Blethyn;Edie McClurg
3101,Adrian Lyne,Michael Douglas;Glenn Close;Anne Archer;Ellen Hamilton Latzen;Stuart Pankin
3102,Richard Marquand,Glenn Close;Jeff Bridges;Peter Coyote;Lance Henriksen;Robert Loggia
3103,Martin Ritt,Jane Fonda;Robert De Niro;Swoosie Kurtz;Martha Plimpton;Jamey Sheridan
3104,Martin Brest,Robert De Niro;Charles Grodin;Yaphet Kotto;John Ashton;Dennis Farina
3105,Penny Marshall,Robert De Niro;Robin Williams;John Heard;Julie Kavner;Penelope Ann Miller
3106,Alan Parker,Dennis Quaid;Tamlyn Tomita;Sab Shimono;Brady Tsurutani;Shizuko Hoshi
3107,Ron Howard,Kurt Russell;William Baldwin;Robert De Niro;Donald Sutherland;Jennifer Jason Leigh
3108,Terry Gilliam,Robin Williams;Jeff Bridges;Amanda Plummer;Mercedes Ruehl;Michael Jeter
3109,George T. Miller,Tom Burlinson;Sigrid Thornton;Terence Donovan;Kirk Douglas;Jack Thompson
3111,Robert Benton,Sally Field;Lindsay Crouse;John Malkovich;Danny Glover;Ed Harris
3112,Tom Moore,Sissy Spacek;Anne Bancroft;Ed Berke;Carol Robbins;Jennifer Roosendahl
3113,Peter Hyams,Arnold Schwarzenegger;Gabriel Byrne;Robin Tunney;Kevin Pollak;CCH Pounder
3114,John Lasseter,Tom Hanks;Tim Allen;Joan Cusack;Kelsey Grammer;Don Rickles
3115,Joel Schumacher,Robert De Niro;Philip Seymour Hoffman;Barry Miller;Chris Bauer;Skipp Sudduth
3117,Ang Lee,Skeet Ulrich;Tobey Maguire;Jewel;Jeffrey Wright;Simon Baker
3120,Jonathan Lynn,Eddie Murphy;Lane Smith;Sheryl Lee Ralph;Joe Don Baker;Victoria Rowell
3125,Neil Jordan,Ralph Fiennes;Julianne Moore;Stephen Rea;James Bolam;Ian Hart
3127,Jane Campion,Kate Winslet;Harvey Keitel;Julie Hamilton;Sophie Lee;Dan Wyllie
3129,Woody Allen,Sean Penn;Samantha Morton;Anthony LaPaglia;Uma Thurman;James Urbaniak
3130,Brian De Palma,Tom Hanks;Bruce Willis;Melanie Griffith;Kim Cattrall;Saul Rubinek
3132,Marshall Neilan,Mary Pickford;Milla Davenport;Percy Haswell;Fay Lemport;Mahlon Hamilton
3134,Jean Renoir,Jean Gabin;Pierre Fresnay;Erich von Stroheim;Marcel Dalio;Dita Parlo
3135,Lewis John Carlino,Robert Duvall;Blythe Danner;Michael O'Keefe;Lisa Jane Persky;Julie Anne Haddock
3138,Steven Kampmann,Mark Harmon;William McNamara;Jodie Foster;Helen Hunt;Jonathan Silverman
3141,Jack Nicholson,Jack Nicholson;Harvey Keitel;Meg Tilly;Madeleine Stowe;Eli Wallach
3142,Phil Joanou,Bono;The Edge;Larry Mullen Jr.;Adam Clayton;B.B. King
3143,John Boorman,Lee Marvin;Toshirō Mifune
3145,Tim Robbins,Hank Azaria;Rubén Blades;Joan Cusack;John Cusack;Cary Elwes
3146,Mike Mitchell,Rob Schneider;William Forsythe;Eddie Griffin;Arija Bareikis;Oded Fehr
3147,Frank Darabont,Tom Hanks;David Morse;Bonnie Hunt;Michael Clarke Duncan;James Cromwell
3148,Lasse Hallström,Tobey Maguire;Charlize Theron;Delroy Lindo;Paul Rudd;Michael Caine
3150,Tim Roth,Freddie Cunliffe;Lara Belmont;Ray Winstone;Tilda Swinton;Kate Ashfield
3152,Peter Bogdanovich,Timothy Bottoms;Cybill Shepherd;Jeff Bridges;Cloris Leachman;Ellen Burstyn
3153,Nathan Juran,Kerwin Mathews;Kathryn Grant;Torin Thatcher;Richard Eyer;Alec Mango
3155,Andy Tennant,Jodie Foster;Chow Yun-Fat;Bai Ling;Tom Felton;Syed Alwi
3156,Chris Columbus,Robin Williams;Embeth Davidtz;Sam Neill;Oliver Platt;Kiersten Warren
3157,Rob Minkoff,Michael J. Fox;Chazz Palminteri;Nathan Lane;Geena Davis;Hugh Laurie
3158,Chen Kaige,Gong Li;Zhang Fengyi;Li Xuejian;Wang Zhiwen;Sun Zhou
3159,James Algar,Steve Martin;Itzhak Perlman;Quincy Jones;Bette Midler;James Earl Jones
3160,Paul Thomas Anderson,Tom Cruise;Philip Baker Hall;Philip Seymour Hoffman;Julianne Moore;William H. Macy
3161,Martha Fiennes,Ralph Fiennes;Liv Tyler;Toby Stephens;Lena Headey;Martin Donovan
3162,Matthew Warchus,Nick Nolte;Jeff Bridges;Sharon Stone;Catherine Keener;Albert Finney
3163,Mike Leigh,Jim Broadbent;Allan Corduner;Timothy Spall;Lesley Manville;Ron Cook
3165,James B. Harris,Wesley Snipes;Dennis Hopper;Lolita Davidovich;Viggo Mortensen;Seymour Cassel
3167,Mike Nichols,Jack Nicholson;Candice Bergen;Art Garfunkel;Ann-Margret;Rita Moreno
3168,Dennis Hopper,Peter Fonda;Dennis Hopper;Jack Nicholson;Antonio Mendoza;Phil Spector
3169,John Schlesinger,Timothy Hutton;Sean Penn;Pat Hingle;Joyce Van Patten;Art Camacho
3171,Jack Clayton,Laurence Harvey;Simone Signoret;Heather Sears;Donald Wolfit;Donald Houston
3173,Oliver Stone,Al Pacino;Cameron Diaz;Dennis Quaid;James Woods;Jamie Foxx
3174,Miloš Forman,Jim Carrey;Danny DeVito;Courtney Love;Paul Giamatti;Vincent Schiavelli
3175,Dean Parisot,Tim Allen;Sigourney Weaver;Alan Rickman;Tony Shalhoub;Sam Rockwell
3176,Anthony Minghella,Matt Damon;Gwyneth Paltrow;Jude Law;Cate Blanchett;Philip Seymour Hoffman
3177,Steve Carr,Ice Cube;Mike Epps;Justin Pierce;John Witherspoon;Don Curry
3178,Norman Jewison,Denzel Washington;Vicellous Shannon;Deborah Kara Unger;Liev Schreiber;John Hannah
3179,Alan Parker,Emily Watson;Robert Carlyle;Joe Breen;Michael Legge;Ciarán Owens
3181,Julie Taymor,Anthony Hopkins;Jessica Lange;Jonathan Rhys Meyers;Matthew Rhys;Harry Lennix
3182,Errol Morris,Fred A. Leuchter Jr.;Robert Jan van Pelt;David Irving;Caroline Leuchter;James Roth
3183,Agnieszka Holland,Ed Harris;Anne Heche;Armin Mueller-Stahl;Charles Haid;Ken James
3185,Scott Hicks,Ethan Hawke;Youki Kudoh;Reeve Carney;Anne Suzuki;Rick Yune
3186,James Mangold,Winona Ryder;Angelina Jolie;Clea DuVall;Brittany Murphy;Elisabeth Moss
3190,Walter Hill,James Spader;Angela Bassett;Robert Forster;Lou Diamond Phillips;Peter Facinelli
3194,Sydney Pollack,Barbra Streisand;Robert Redford;Bradford Dillman;Lois Chiles;Patrick O'Neal
3196,Billy Wilder,William Holden;Robert Strauss;Don Taylor;Otto Preminger;Harvey Lembeck
3197,Peter Hyams,Sean Connery;Mark Harmon;Meg Ryan;Jack Warden;Mark Blum
3198,Franklin J. Schaffner,Steve McQueen;Dustin Hoffman;Victor Jory;Don Gordon;Anthony Zerbe
3200,Hal Ashby,Jack Nicholson;Otis Young;Randy Quaid;Clifton James;Carol Kane
3201,Bob Rafelson,Jack Nicholson;Karen Black;Susan Anspach;Lois Smith;Ralph Waite
3203,Phillip Noyce,Nicole Kidman;Sam Neill;Billy Zane;George Shevtsov;Rod Mullinar
3204,Franklin J. Schaffner,Gregory Peck;Laurence Olivier;James Mason;Lilli Palmer;Uta Hagen
3206,Taylor Hackford,Jeff Bridges;Rachel Ward;James Woods;Alex Karras;Jane Greer
3208,Gene Quintano,Emilio Estevez;Samuel L. Jackson;Jon Lovitz;Tim Curry;Kathy Ireland
3210,Amy Heckerling,Sean Penn;Jennifer Jason Leigh;Judge Reinhold;Robert Romanus;Brian Backer
3211,Fred Schepisi,Meryl Streep;Sam Neill;David Hoflin;John Howard;Debra Lawrance
3213,Bruce Timm,Kevin Conroy;Dana Delany;Hart Bochner;Stacy Keach;Mark Hamill
3214,John Badham,Kevin Costner;David Marshall Grant;Rae Dawn Chong;Alexandra Paul;Janice Rule
3217,William A. Wellman,Janet Gaynor;Fredric March;Adolphe Menjou;May Robson;Andy Devine
3219,John Schlesinger,Melanie Griffith;Matthew Modine;Michael Keaton;Mako;Nobu McCarthy
3221,Peter Greenaway,Anthony Higgins;Janet Suzman;Dave Hill;Anne-Louise Lambert;Hugh Fraser
3223,Peter Greenaway,Frances Barber;Joss Ackland;Brian Deacon;Geoffrey Palmer;Eric Deacon
3224,Hiroshi Teshigahara,Eiji Okada;Kyôko Kishida;Hiroko Itō;Kōji Mitsui
3225,Kris Isacsson,Freddie Prinze Jr.;Julia Stiles;Selma Blair;Shawn Hatosy;Zak Orth
3230,Ronald Neame,Jon Voight;Maximilian Schell;Maria Schell;Mary Tamm;Derek Jacobi
3235,Art Linson,Bill Murray;Peter Boyle;Bruno Kirby;René Auberjonois;R.G. Armstrong
